,time,window,vertices,edges,new_vertices,prop_new,vert_shuffled_mean,vert_shuffled_sd,edge_shuffled_mean,edge_shuffled_sd,cc_shuffled_mean,cc_shuffled_sd
34,2009-11-03 02:56:28,0,591,3341,,,,,,,,
35,2009-11-04 02:56:28,0,612,3463,,,,,,,,
36,2009-11-05 02:56:28,0,634,3618,,,,,,,,
37,2009-11-06 02:56:28,0,652,3762,,,,,,,,
38,2009-11-07 02:56:28,0,674,3925,,,,,,,,
39,2009-11-08 02:56:28,0,683,4071,,,,,,,,
40,2009-11-09 02:56:28,0,691,4191,,,,,,,,
41,2009-11-10 02:56:28,0,707,4292,,,,,,,,
42,2009-11-11 02:56:28,0,726,4426,,,,,,,,
43,2009-11-12 02:56:28,0,742,4619,,,,,,,,
44,2009-11-13 02:56:28,0,753,4752,,,,,,,,
45,2009-11-14 02:56:28,0,770,4954,,,,,,,,
46,2009-11-15 02:56:28,0,790,5089,,,,,,,,
47,2009-11-16 02:56:28,0,795,5187,,,,,,,,
48,2009-11-17 02:56:28,0,809,5289,,,,,,,,
49,2009-11-18 02:56:28,0,821,5427,,,,,,,,
50,2009-11-19 02:56:28,0,838,5561,,,,,,,,
51,2009-11-20 02:56:28,0,850,5702,,,,,,,,
52,2009-11-21 02:56:28,0,873,5856,,,,,,,,
53,2009-11-22 02:56:28,0,884,5970,,,,,,,,
54,2009-11-23 02:56:28,0,890,6056,,,,,,,,
55,2009-11-24 02:56:28,0,897,6158,,,,,,,,
56,2009-11-25 02:56:28,0,907,6273,,,,,,,,
57,2009-11-26 02:56:28,0,914,6391,,,,,,,,
58,2009-11-27 02:56:28,0,925,6469,,,,,,,,
59,2009-11-28 02:56:28,0,934,6541,,,,,,,,
60,2009-11-29 02:56:28,0,948,6628,,,,,,,,
61,2009-11-30 02:56:28,0,960,6711,,,,,,,,
62,2009-12-01 02:56:28,0,973,6872,,,,,,,,
63,2009-12-02 02:56:28,0,983,7024,,,,,,,,
64,2009-12-03 02:56:28,0,992,7155,,,,,,,,
65,2009-12-04 02:56:28,0,1001,7273,,,,,,,,
66,2009-12-05 02:56:28,0,1010,7377,,,,,,,,
67,2009-12-06 02:56:28,0,1018,7486,,,,,,,,
68,2009-12-07 02:56:28,0,1033,7624,,,,,,,,
69,2009-12-08 02:56:28,0,1045,7748,,,,,,,,
70,2009-12-09 02:56:28,0,1063,7855,,,,,,,,
71,2009-12-10 02:56:28,0,1078,8057,,,,,,,,
72,2009-12-11 02:56:28,0,1084,8145,,,,,,,,
73,2009-12-12 02:56:28,0,1099,8267,,,,,,,,
74,2009-12-13 02:56:28,0,1109,8383,,,,,,,,
75,2009-12-14 02:56:28,0,1114,8470,,,,,,,,
76,2009-12-15 02:56:28,0,1121,8575,,,,,,,,
77,2009-12-16 02:56:28,0,1136,8712,,,,,,,,
78,2009-12-17 02:56:28,0,1150,8813,,,,,,,,
79,2009-12-18 02:56:28,0,1166,8900,,,,,,,,
80,2009-12-19 02:56:28,0,1183,9019,,,,,,,,
81,2009-12-20 02:56:28,0,1194,9118,,,,,,,,
82,2009-12-21 02:56:28,0,1199,9176,,,,,,,,
83,2009-12-22 02:56:28,0,1203,9249,,,,,,,,
84,2009-12-23 02:56:28,0,1211,9319,,,,,,,,
85,2009-12-24 02:56:28,0,1222,9385,,,,,,,,
86,2009-12-25 02:56:28,0,1228,9451,,,,,,,,
87,2009-12-26 02:56:28,0,1233,9496,,,,,,,,
88,2009-12-27 02:56:28,0,1239,9568,,,,,,,,
89,2009-12-28 02:56:28,0,1252,9653,,,,,,,,
90,2009-12-29 02:56:28,0,1262,9749,,,,,,,,
91,2009-12-30 02:56:28,0,1275,9854,,,,,,,,
92,2009-12-31 02:56:28,0,1283,9987,,,,,,,,
93,2010-01-01 02:56:28,0,1289,10117,,,,,,,,
94,2010-01-02 02:56:28,0,1296,10201,,,,,,,,
95,2010-01-03 02:56:28,0,1307,10332,,,,,,,,
96,2010-01-04 02:56:28,0,1309,10419,,,,,,,,
97,2010-01-05 02:56:28,0,1319,10545,,,,,,,,
98,2010-01-06 02:56:28,0,1329,10663,,,,,,,,
99,2010-01-07 02:56:28,0,1336,10789,,,,,,,,
100,2010-01-08 02:56:28,0,1344,10903,,,,,,,,
101,2010-01-09 02:56:28,0,1355,11026,,,,,,,,
102,2010-01-10 02:56:28,0,1364,11110,,,,,,,,
103,2010-01-11 02:56:28,0,1375,11220,,,,,,,,
104,2010-01-12 02:56:28,0,1386,11340,,,,,,,,
105,2010-01-13 02:56:28,0,1398,11440,,,,,,,,
106,2010-01-14 02:56:28,0,1404,11564,,,,,,,,
107,2010-01-15 02:56:28,0,1411,11657,,,,,,,,
108,2010-01-16 02:56:28,0,1424,11781,,,,,,,,
109,2010-01-17 02:56:28,0,1440,11889,,,,,,,,
110,2010-01-18 02:56:28,0,1456,12011,,,,,,,,
111,2010-01-19 02:56:28,0,1467,12137,,,,,,,,
112,2010-01-20 02:56:28,0,1479,12257,,,,,,,,
113,2010-01-21 02:56:28,0,1488,12379,,,,,,,,
114,2010-01-22 02:56:28,0,1507,12536,,,,,,,,
115,2010-01-23 02:56:28,0,1520,12637,,,,,,,,
116,2010-01-24 02:56:28,0,1529,12751,,,,,,,,
117,2010-01-25 02:56:28,0,1544,12863,,,,,,,,
118,2010-01-26 02:56:28,0,1557,12999,,,,,,,,
119,2010-01-27 02:56:28,0,1574,13131,,,,,,,,
120,2010-01-28 02:56:28,0,1583,13256,,,,,,,,
121,2010-01-29 02:56:28,0,1597,13381,,,,,,,,
122,2010-01-30 02:56:28,0,1614,13522,,,,,,,,
123,2010-01-31 02:56:28,0,1624,13649,,,,,,,,
124,2010-02-01 02:56:28,0,1631,13724,,,,,,,,
125,2010-02-02 02:56:28,0,1648,13905,,,,,,,,
126,2010-02-03 02:56:28,0,1657,14041,,,,,,,,
127,2010-02-04 02:56:28,0,1670,14196,,,,,,,,
128,2010-02-05 02:56:28,0,1684,14357,,,,,,,,
129,2010-02-06 02:56:28,0,1694,14491,,,,,,,,
130,2010-02-07 02:56:28,0,1709,14622,,,,,,,,
131,2010-02-08 02:56:28,0,1729,14754,,,,,,,,
132,2010-02-09 02:56:28,0,1739,14927,,,,,,,,
133,2010-02-10 02:56:28,0,1747,15058,,,,,,,,
134,2010-02-11 02:56:28,0,1757,15214,,,,,,,,
135,2010-02-12 02:56:28,0,1767,15308,,,,,,,,
136,2010-02-13 02:56:28,0,1775,15454,,,,,,,,
137,2010-02-14 02:56:28,0,1780,15533,,,,,,,,
138,2010-02-15 02:56:28,0,1789,15617,,,,,,,,
139,2010-02-16 02:56:28,0,1796,15704,,,,,,,,
140,2010-02-17 02:56:28,0,1812,15822,,,,,,,,
141,2010-02-18 02:56:28,0,1830,15956,,,,,,,,
142,2010-02-19 02:56:28,0,1843,16120,,,,,,,,
143,2010-02-20 02:56:28,0,1858,16235,,,,,,,,
144,2010-02-21 02:56:28,0,1866,16330,,,,,,,,
145,2010-02-22 02:56:28,0,1879,16418,,,,,,,,
146,2010-02-23 02:56:28,0,1887,16557,,,,,,,,
147,2010-02-24 02:56:28,0,1901,16674,,,,,,,,
148,2010-02-25 02:56:28,0,1916,16825,,,,,,,,
149,2010-02-26 02:56:28,0,1931,16985,,,,,,,,
150,2010-02-27 02:56:28,0,1941,17109,,,,,,,,
151,2010-02-28 02:56:28,0,1953,17219,,,,,,,,
152,2010-03-01 02:56:28,0,1963,17314,,,,,,,,
153,2010-03-02 02:56:28,0,1965,17387,,,,,,,,
154,2010-03-03 02:56:28,0,1981,17522,,,,,,,,
155,2010-03-04 02:56:28,0,1994,17639,,,,,,,,
156,2010-03-05 02:56:28,0,2005,17804,,,,,,,,
157,2010-03-06 02:56:28,0,2012,17891,,,,,,,,
158,2010-03-07 02:56:28,0,2025,18031,,,,,,,,
159,2010-03-08 02:56:28,0,2035,18152,,,,,,,,
160,2010-03-09 02:56:28,0,2040,18259,,,,,,,,
161,2010-03-10 02:56:28,0,2052,18429,,,,,,,,
162,2010-03-11 02:56:28,0,2065,18567,,,,,,,,
163,2010-03-12 02:56:28,0,2082,18747,,,,,,,,
164,2010-03-13 02:56:28,0,2090,18879,,,,,,,,
165,2010-03-14 02:56:28,0,2100,18976,,,,,,,,
166,2010-03-15 02:56:28,0,2111,19118,,,,,,,,
167,2010-03-16 02:56:28,0,2123,19265,,,,,,,,
168,2010-03-17 02:56:28,0,2137,19406,,,,,,,,
169,2010-03-18 02:56:28,0,2148,19545,,,,,,,,
170,2010-03-19 02:56:28,0,2159,19723,,,,,,,,
171,2010-03-20 02:56:28,0,2177,19932,,,,,,,,
172,2010-03-21 02:56:28,0,2188,20052,,,,,,,,
173,2010-03-22 02:56:28,0,2194,20149,,,,,,,,
174,2010-03-23 02:56:28,0,2207,20279,,,,,,,,
175,2010-03-24 02:56:28,0,2218,20385,,,,,,,,
176,2010-03-25 02:56:28,0,2233,20514,,,,,,,,
177,2010-03-26 02:56:28,0,2243,20681,,,,,,,,
178,2010-03-27 02:56:28,0,2251,20846,,,,,,,,
179,2010-03-28 03:56:28,0,2256,20933,,,,,,,,
180,2010-03-29 03:56:28,0,2267,21084,,,,,,,,
181,2010-03-30 03:56:28,0,2281,21229,,,,,,,,
182,2010-03-31 03:56:28,0,2292,21374,,,,,,,,
183,2010-04-01 03:56:28,0,2303,21554,,,,,,,,
184,2010-04-02 03:56:28,0,2311,21703,,,,,,,,
185,2010-04-03 03:56:28,0,2323,21823,,,,,,,,
186,2010-04-04 03:56:28,0,2335,21915,,,,,,,,
187,2010-04-05 03:56:28,0,2338,22002,,,,,,,,
188,2010-04-06 03:56:28,0,2346,22115,,,,,,,,
189,2010-04-07 03:56:28,0,2359,22267,,,,,,,,
190,2010-04-08 03:56:28,0,2371,22413,,,,,,,,
191,2010-04-09 03:56:28,0,2384,22566,,,,,,,,
192,2010-04-10 03:56:28,0,2389,22686,,,,,,,,
193,2010-04-11 03:56:28,0,2400,22795,,,,,,,,
194,2010-04-12 03:56:28,0,2408,22895,,,,,,,,
195,2010-04-13 03:56:28,0,2419,23046,,,,,,,,
196,2010-04-14 03:56:28,0,2428,23173,,,,,,,,
197,2010-04-15 03:56:28,0,2437,23314,,,,,,,,
198,2010-04-16 03:56:28,0,2449,23482,,,,,,,,
199,2010-04-17 03:56:28,0,2455,23616,,,,,,,,
200,2010-04-18 03:56:28,0,2458,23700,,,,,,,,
201,2010-04-19 03:56:28,0,2469,23821,,,,,,,,
202,2010-04-20 03:56:28,0,2481,23947,,,,,,,,
203,2010-04-21 03:56:28,0,2490,24088,,,,,,,,
204,2010-04-22 03:56:28,0,2496,24225,,,,,,,,
205,2010-04-23 03:56:28,0,2510,24382,,,,,,,,
206,2010-04-24 03:56:28,0,2524,24542,,,,,,,,
207,2010-04-25 03:56:28,0,2529,24638,,,,,,,,
208,2010-04-26 03:56:28,0,2537,24761,,,,,,,,
209,2010-04-27 03:56:28,0,2552,24888,,,,,,,,
210,2010-04-28 03:56:28,0,2565,25069,,,,,,,,
211,2010-04-29 03:56:28,0,2576,25205,,,,,,,,
212,2010-04-30 03:56:28,0,2590,25407,,,,,,,,
213,2010-05-01 03:56:28,0,2602,25563,,,,,,,,
214,2010-05-02 03:56:28,0,2608,25645,,,,,,,,
215,2010-05-03 03:56:28,0,2615,25758,,,,,,,,
216,2010-05-04 03:56:28,0,2624,25874,,,,,,,,
217,2010-05-05 03:56:28,0,2635,25997,,,,,,,,
218,2010-05-06 03:56:28,0,2652,26199,,,,,,,,
219,2010-05-07 03:56:28,0,2667,26382,,,,,,,,
220,2010-05-08 03:56:28,0,2683,26515,,,,,,,,
221,2010-05-09 03:56:28,0,2695,26599,,,,,,,,
222,2010-05-10 03:56:28,0,2707,26706,,,,,,,,
223,2010-05-11 03:56:28,0,2716,26805,,,,,,,,
224,2010-05-12 03:56:28,0,2733,26985,,,,,,,,
225,2010-05-13 03:56:28,0,2746,27166,,,,,,,,
226,2010-05-14 03:56:28,0,2752,27305,,,,,,,,
227,2010-05-15 03:56:28,0,2764,27450,,,,,,,,
228,2010-05-16 03:56:28,0,2777,27645,,,,,,,,
229,2010-05-17 03:56:28,0,2784,27783,,,,,,,,
230,2010-05-18 03:56:28,0,2791,27956,,,,,,,,
231,2010-05-19 03:56:28,0,2801,28133,,,,,,,,
232,2010-05-20 03:56:28,0,2816,28253,,,,,,,,
233,2010-05-21 03:56:28,0,2825,28417,,,,,,,,
234,2010-05-22 03:56:28,0,2834,28544,,,,,,,,
235,2010-05-23 03:56:28,0,2840,28636,,,,,,,,
236,2010-05-24 03:56:28,0,2851,28774,,,,,,,,
237,2010-05-25 03:56:28,0,2858,28874,,,,,,,,
238,2010-05-26 03:56:28,0,2869,29046,,,,,,,,
239,2010-05-27 03:56:28,0,2882,29210,,,,,,,,
240,2010-05-28 03:56:28,0,2892,29371,,,,,,,,
241,2010-05-29 03:56:28,0,2908,29543,,,,,,,,
242,2010-05-30 03:56:28,0,2914,29645,,,,,,,,
243,2010-05-31 03:56:28,0,2926,29793,,,,,,,,
244,2010-06-01 03:56:28,0,2933,29935,,,,,,,,
245,2010-06-02 03:56:28,0,2946,30080,,,,,,,,
246,2010-06-03 03:56:28,0,2961,30237,,,,,,,,
247,2010-06-04 03:56:28,0,2969,30368,,,,,,,,
248,2010-06-05 03:56:28,0,2981,30545,,,,,,,,
249,2010-06-06 03:56:28,0,2996,30668,,,,,,,,
250,2010-06-07 03:56:28,0,3003,30758,,,,,,,,
251,2010-06-08 03:56:28,0,3019,30940,,,,,,,,
252,2010-06-09 03:56:28,0,3034,31100,,,,,,,,
253,2010-06-10 03:56:28,0,3042,31225,,,,,,,,
254,2010-06-11 03:56:28,0,3052,31411,,,,,,,,
255,2010-06-12 03:56:28,0,3059,31566,,,,,,,,
256,2010-06-13 03:56:28,0,3067,31734,,,,,,,,
257,2010-06-14 03:56:28,0,3081,31860,,,,,,,,
258,2010-06-15 03:56:28,0,3091,32001,,,,,,,,
259,2010-06-16 03:56:28,0,3108,32215,,,,,,,,
260,2010-06-17 03:56:28,0,3117,32385,,,,,,,,
261,2010-06-18 03:56:28,0,3126,32529,,,,,,,,
262,2010-06-19 03:56:28,0,3133,32694,,,,,,,,
263,2010-06-20 03:56:28,0,3145,32869,,,,,,,,
264,2010-06-21 03:56:28,0,3150,33008,,,,,,,,
265,2010-06-22 03:56:28,0,3166,33164,,,,,,,,
266,2010-06-23 03:56:28,0,3183,33343,,,,,,,,
267,2010-06-24 03:56:28,0,3200,33499,,,,,,,,
268,2010-06-25 03:56:28,0,3220,33695,,,,,,,,
269,2010-06-26 03:56:28,0,3226,33843,,,,,,,,
270,2010-06-27 03:56:28,0,3234,33971,,,,,,,,
271,2010-06-28 03:56:28,0,3244,34093,,,,,,,,
272,2010-06-29 03:56:28,0,3258,34209,,,,,,,,
273,2010-06-30 03:56:28,0,3280,34391,,,,,,,,
274,2010-07-01 03:56:28,0,3291,34575,,,,,,,,
275,2010-07-02 03:56:28,0,3307,34714,,,,,,,,
276,2010-07-03 03:56:28,0,3319,34901,,,,,,,,
277,2010-07-04 03:56:28,0,3328,35030,,,,,,,,
278,2010-07-05 03:56:28,0,3337,35142,,,,,,,,
279,2010-07-06 03:56:28,0,3350,35291,,,,,,,,
280,2010-07-07 03:56:28,0,3371,35480,,,,,,,,
281,2010-07-08 03:56:28,0,3382,35660,,,,,,,,
282,2010-07-09 03:56:28,0,3398,35831,,,,,,,,
283,2010-07-10 03:56:28,0,3411,35989,,,,,,,,
284,2010-07-11 03:56:28,0,3419,36095,,,,,,,,
285,2010-07-12 03:56:28,0,3427,36284,,,,,,,,
286,2010-07-13 03:56:28,0,3443,36487,,,,,,,,
287,2010-07-14 03:56:28,0,3452,36697,,,,,,,,
288,2010-07-15 03:56:28,0,3466,36861,,,,,,,,
289,2010-07-16 03:56:28,0,3478,37067,,,,,,,,
290,2010-07-17 03:56:28,0,3493,37275,,,,,,,,
291,2010-07-18 03:56:28,0,3504,37398,,,,,,,,
292,2010-07-19 03:56:28,0,3507,37516,,,,,,,,
293,2010-07-20 03:56:28,0,3524,37694,,,,,,,,
294,2010-07-21 03:56:28,0,3546,37909,,,,,,,,
295,2010-07-22 03:56:28,0,3559,38091,,,,,,,,
296,2010-07-23 03:56:28,0,3573,38288,,,,,,,,
297,2010-07-24 03:56:28,0,3583,38457,,,,,,,,
298,2010-07-25 03:56:28,0,3588,38558,,,,,,,,
299,2010-07-26 03:56:28,0,3595,38681,,,,,,,,
300,2010-07-27 03:56:28,0,3609,38857,,,,,,,,
301,2010-07-28 03:56:28,0,3620,39013,,,,,,,,
302,2010-07-29 03:56:28,0,3630,39175,,,,,,,,
303,2010-07-30 03:56:28,0,3647,39332,,,,,,,,
304,2010-07-31 03:56:28,0,3663,39464,,,,,,,,
305,2010-08-01 03:56:28,0,3673,39613,,,,,,,,
306,2010-08-02 03:56:28,0,3682,39738,,,,,,,,
307,2010-08-03 03:56:28,0,3692,39918,,,,,,,,
308,2010-08-04 03:56:28,0,3704,40100,,,,,,,,
309,2010-08-05 03:56:28,0,3719,40262,,,,,,,,
310,2010-08-06 03:56:28,0,3738,40407,,,,,,,,
311,2010-08-07 03:56:28,0,3750,40567,,,,,,,,
312,2010-08-08 03:56:28,0,3755,40668,,,,,,,,
313,2010-08-09 03:56:28,0,3765,40783,,,,,,,,
314,2010-08-10 03:56:28,0,3777,40906,,,,,,,,
315,2010-08-11 03:56:28,0,3794,41045,,,,,,,,
316,2010-08-12 03:56:28,0,3804,41182,,,,,,,,
317,2010-08-13 03:56:28,0,3819,41341,,,,,,,,
318,2010-08-14 03:56:28,0,3838,41528,,,,,,,,
319,2010-08-15 03:56:28,0,3845,41635,,,,,,,,
320,2010-08-16 03:56:28,0,3855,41739,,,,,,,,
321,2010-08-17 03:56:28,0,3865,41875,,,,,,,,
322,2010-08-18 03:56:28,0,3876,42017,,,,,,,,
323,2010-08-19 03:56:28,0,3897,42163,,,,,,,,
324,2010-08-20 03:56:28,0,3913,42315,,,,,,,,
325,2010-08-21 03:56:28,0,3922,42422,,,,,,,,
326,2010-08-22 03:56:28,0,3934,42533,,,,,,,,
327,2010-08-23 03:56:28,0,3942,42614,,,,,,,,
328,2010-08-24 03:56:28,0,3957,42741,,,,,,,,
329,2010-08-25 03:56:28,0,3972,42884,,,,,,,,
330,2010-08-26 03:56:28,0,3979,43030,,,,,,,,
331,2010-08-27 03:56:28,0,3992,43178,,,,,,,,
332,2010-08-28 03:56:28,0,4005,43330,,,,,,,,
333,2010-08-29 03:56:28,0,4011,43409,,,,,,,,
334,2010-08-30 03:56:28,0,4017,43513,,,,,,,,
335,2010-08-31 03:56:28,0,4026,43638,,,,,,,,
336,2010-09-01 03:56:28,0,4041,43795,,,,,,,,
337,2010-09-02 03:56:28,0,4053,43928,,,,,,,,
338,2010-09-03 03:56:28,0,4064,44068,,,,,,,,
339,2010-09-04 03:56:28,0,4073,44204,,,,,,,,
340,2010-09-05 03:56:28,0,4089,44320,,,,,,,,
341,2010-09-06 03:56:28,0,4097,44416,,,,,,,,
342,2010-09-07 03:56:28,0,4107,44541,,,,,,,,
343,2010-09-08 03:56:28,0,4117,44642,,,,,,,,
344,2010-09-09 03:56:28,0,4126,44765,,,,,,,,
345,2010-09-10 03:56:28,0,4140,44924,,,,,,,,
346,2010-09-11 03:56:28,0,4152,45086,,,,,,,,
347,2010-09-12 03:56:28,0,4162,45186,,,,,,,,
348,2010-09-13 03:56:28,0,4169,45296,,,,,,,,
349,2010-09-14 03:56:28,0,4178,45424,,,,,,,,
350,2010-09-15 03:56:28,0,4192,45581,,,,,,,,
351,2010-09-16 03:56:28,0,4208,45742,,,,,,,,
352,2010-09-17 03:56:28,0,4219,45931,,,,,,,,
353,2010-09-18 03:56:28,0,4237,46082,,,,,,,,
354,2010-09-19 03:56:28,0,4251,46186,,,,,,,,
355,2010-09-20 03:56:28,0,4256,46284,,,,,,,,
356,2010-09-21 03:56:28,0,4270,46409,,,,,,,,
357,2010-09-22 03:56:28,0,4284,46557,,,,,,,,
358,2010-09-23 03:56:28,0,4297,46725,,,,,,,,
359,2010-09-24 03:56:28,0,4308,46882,,,,,,,,
360,2010-09-25 03:56:28,0,4319,47044,,,,,,,,
361,2010-09-26 03:56:28,0,4324,47156,,,,,,,,
362,2010-09-27 03:56:28,0,4331,47245,,,,,,,,
363,2010-09-28 03:56:28,0,4345,47416,,,,,,,,
364,2010-09-29 03:56:28,0,4365,47637,,,,,,,,
365,2010-09-30 03:56:28,0,4380,47836,,,,,,,,
366,2010-10-01 03:56:28,0,4397,48017,,,,,,,,
367,2010-10-02 03:56:28,0,4407,48148,,,,,,,,
368,2010-10-03 03:56:28,0,4419,48227,,,,,,,,
369,2010-10-04 03:56:28,0,4427,48352,,,,,,,,
370,2010-10-05 03:56:28,0,4437,48484,,,,,,,,
371,2010-10-06 03:56:28,0,4451,48697,,,,,,,,
372,2010-10-07 03:56:28,0,4471,48824,,,,,,,,
373,2010-10-08 03:56:28,0,4483,48969,,,,,,,,
374,2010-10-09 03:56:28,0,4492,49081,,,,,,,,
375,2010-10-10 03:56:28,0,4504,49199,,,,,,,,
376,2010-10-11 03:56:28,0,4511,49313,,,,,,,,
377,2010-10-12 03:56:28,0,4526,49464,,,,,,,,
378,2010-10-13 03:56:28,0,4537,49586,,,,,,,,
379,2010-10-14 03:56:28,0,4547,49723,,,,,,,,
380,2010-10-15 03:56:28,0,4563,49893,,,,,,,,
381,2010-10-16 03:56:28,0,4574,50036,,,,,,,,
382,2010-10-17 03:56:28,0,4583,50143,,,,,,,,
383,2010-10-18 03:56:28,0,4600,50306,,,,,,,,
384,2010-10-19 03:56:28,0,4614,50469,,,,,,,,
385,2010-10-20 03:56:28,0,4626,50635,,,,,,,,
386,2010-10-21 03:56:28,0,4637,50773,,,,,,,,
387,2010-10-22 03:56:28,0,4659,51004,,,,,,,,
388,2010-10-23 03:56:28,0,4669,51160,,,,,,,,
389,2010-10-24 03:56:28,0,4679,51282,,,,,,,,
390,2010-10-25 03:56:28,0,4687,51389,,,,,,,,
391,2010-10-26 03:56:28,0,4701,51551,,,,,,,,
392,2010-10-27 03:56:28,0,4711,51718,,,,,,,,
393,2010-10-28 03:56:28,0,4723,51899,,,,,,,,
394,2010-10-29 03:56:28,0,4735,52101,,,,,,,,
395,2010-10-30 03:56:28,0,4745,52337,,,,,,,,
396,2010-10-31 02:56:28,0,4750,52442,,,,,,,,
397,2010-11-01 02:56:28,0,4758,52574,,,,,,,,
398,2010-11-02 02:56:28,0,4769,52712,,,,,,,,
399,2010-11-03 02:56:28,0,4780,52865,,,,,,,,
400,2010-11-04 02:56:28,0,4791,53024,,,,,,,,
401,2010-11-05 02:56:28,0,4805,53169,,,,,,,,
402,2010-11-06 02:56:28,0,4817,53333,,,,,,,,
403,2010-11-07 02:56:28,0,4824,53474,,,,,,,,
404,2010-11-08 02:56:28,0,4837,53608,,,,,,,,
405,2010-11-09 02:56:28,0,4848,53767,,,,,,,,
406,2010-11-10 02:56:28,0,4858,53910,,,,,,,,
407,2010-11-11 02:56:28,0,4865,54054,,,,,,,,
408,2010-11-12 02:56:28,0,4881,54220,,,,,,,,
409,2010-11-13 02:56:28,0,4900,54406,,,,,,,,
410,2010-11-14 02:56:28,0,4910,54517,,,,,,,,
411,2010-11-15 02:56:28,0,4922,54684,,,,,,,,
412,2010-11-16 02:56:28,0,4930,54814,,,,,,,,
413,2010-11-17 02:56:28,0,4943,54991,,,,,,,,
414,2010-11-18 02:56:28,0,4952,55131,,,,,,,,
415,2010-11-19 02:56:28,0,4964,55300,,,,,,,,
416,2010-11-20 02:56:28,0,4984,55469,,,,,,,,
417,2010-11-21 02:56:28,0,4989,55588,,,,,,,,
418,2010-11-22 02:56:28,0,4995,55687,,,,,,,,
419,2010-11-23 02:56:28,0,5009,55868,,,,,,,,
420,2010-11-24 02:56:28,0,5023,56035,,,,,,,,
421,2010-11-25 02:56:28,0,5038,56203,,,,,,,,
422,2010-11-26 02:56:28,0,5048,56314,,,,,,,,
423,2010-11-27 02:56:28,0,5055,56441,,,,,,,,
424,2010-11-28 02:56:28,0,5060,56540,,,,,,,,
425,2010-11-29 02:56:28,0,5070,56665,,,,,,,,
426,2010-11-30 02:56:28,0,5079,56784,,,,,,,,
427,2010-12-01 02:56:28,0,5093,56915,,,,,,,,
428,2010-12-02 02:56:28,0,5106,57039,,,,,,,,
429,2010-12-03 02:56:28,0,5121,57226,,,,,,,,
430,2010-12-04 02:56:28,0,5132,57360,,,,,,,,
431,2010-12-05 02:56:28,0,5143,57490,,,,,,,,
432,2010-12-06 02:56:28,0,5154,57598,,,,,,,,
433,2010-12-07 02:56:28,0,5162,57706,,,,,,,,
434,2010-12-08 02:56:28,0,5173,57853,,,,,,,,
435,2010-12-09 02:56:28,0,5184,57969,,,,,,,,
436,2010-12-10 02:56:28,0,5196,58162,,,,,,,,
437,2010-12-11 02:56:28,0,5207,58369,,,,,,,,
438,2010-12-12 02:56:28,0,5215,58518,,,,,,,,
439,2010-12-13 02:56:28,0,5223,58653,,,,,,,,
440,2010-12-14 02:56:28,0,5230,58808,,,,,,,,
441,2010-12-15 02:56:28,0,5240,58981,,,,,,,,
442,2010-12-16 02:56:28,0,5254,59169,,,,,,,,
443,2010-12-17 02:56:28,0,5267,59319,,,,,,,,
444,2010-12-18 02:56:28,0,5274,59407,,,,,,,,
445,2010-12-19 02:56:28,0,5278,59497,,,,,,,,
446,2010-12-20 02:56:28,0,5285,59574,,,,,,,,
447,2010-12-21 02:56:28,0,5292,59671,,,,,,,,
